model,val_f1,val_precision,val_recall,val_accuracy,test_f1,test_precision,test_recall,test_accuracy
logistic_regression,0.23482838567884237,0.5281477233174352,0.2500657276995305,0.2500657276995305,0.3314327237055485,0.34390293662811805,0.4099728190422569,0.4099728190422569
random_forest,0.3948844712881528,0.45228426933951416,0.508784708249497,0.508784708249497,0.34856064660887975,0.3496104287696395,0.4593279671220153,0.4593279671220153
xgboost,0.3591914108111824,0.37768125522401425,0.5109389671361503,0.5109389671361503,0.32959469071090486,0.33239513546585625,0.471514070002497,0.471514070002497
LightGBM,0.4632498894801749,0.4556987468087449,0.532653252850436,0.532653252850436,0.33771313025308025,0.3280441186755322,0.44478003145929457,0.44478003145929457
catboost,0.5176428969769289,0.5416565153275799,0.5066572769953052,0.5066572769953052,0.33741184180070083,0.33132987877597453,0.44175020556692735,0.44175020556692735
