iter	MultiClass
138	0.5370841681
139	0.5363535328
140	0.5356950421
141	0.5351328409
142	0.5347009941
143	0.5344497138
144	0.5339496969
145	0.5335623397
146	0.5329231316
147	0.5323807652
148	0.5320584346
149	0.5317426802
150	0.5312753543
151	0.5307473786
152	0.5304260928
153	0.529916331
154	0.5294855934
155	0.5292531803
156	0.5287691038
157	0.5280254786
158	0.5276419703
159	0.5270999411
160	0.5267431147
161	0.5265205299
162	0.5260046748
163	0.5254411331
164	0.5249985156
165	0.524321255
166	0.5238959827
167	0.5236662668
168	0.5230825978
169	0.5225410582
170	0.5219907629
171	0.5217575387
172	0.5211905306
173	0.5208519315
174	0.5203380074
175	0.5201537173
176	0.5197036843
177	0.5191442322
178	0.5187343055
179	0.5183206131
180	0.5177852215
181	0.5173158589
182	0.5168970753
183	0.5165964457
184	0.5161795176
185	0.5157846319
186	0.5154488889
187	0.5148794115
188	0.5144066793
189	0.5139147875
190	0.5137327109
191	0.5132852149
192	0.5129713233
193	0.5125813771
194	0.5124083493
195	0.5119546444
196	0.5115300843
197	0.5111638048
198	0.5107287989
199	0.5103685534
200	0.5099924821
201	0.5095319343
202	0.5093597966
203	0.5089939382
204	0.5088043204
205	0.5086528241
206	0.5083228689
207	0.5079688497
208	0.5074748157
209	0.5071861085
210	0.506770394
211	0.5063815869
212	0.5060625298
213	0.505768856
214	0.5053928317
215	0.5050437073
216	0.5046538166
217	0.5044315711
218	0.5039851939
219	0.5037496338
220	0.5036147966
221	0.5033640105
222	0.502992338
223	0.5025560903
224	0.5023713456
225	0.5020813413
226	0.5018792287
227	0.5013722185
228	0.5010356324
229	0.5008095376
230	0.500518292
231	0.5001717097
232	0.4998909744
233	0.4996007521
234	0.4994498284
235	0.4991602449
236	0.4990101285
237	0.4986968473
238	0.4984683873
239	0.4982715447
240	0.4979873959
241	0.4976463603
242	0.4975170044
243	0.4972307328
244	0.4969492121
245	0.4966413445
246	0.4962960638
247	0.4960151755
248	0.4957254348
249	0.4954515453
250	0.4952154716
251	0.4948057526
252	0.4944619507
253	0.4940047755
254	0.4938568396
255	0.4935534871
256	0.4932446647
257	0.4928304417
258	0.4924838365
259	0.4923099712
260	0.4920183694
261	0.4917532033
262	0.4914087721
263	0.4911612936
264	0.4908705024
265	0.4905493632
266	0.4903166723
267	0.4900118139
268	0.4896663649
269	0.4893808036
270	0.4892067405
271	0.4889865007
272	0.4886843929
273	0.4885450812
274	0.4883142903
275	0.4879749615
276	0.4878302827
277	0.4874987076
278	0.4873690355
279	0.4871654125
280	0.4868967805
281	0.4866683885
282	0.4865086643
283	0.486278654
284	0.4859352564
285	0.4858172291
286	0.4856255245
287	0.4853733373
288	0.4851123155
289	0.4848310309
290	0.4846496906
291	0.4843912517
292	0.4841858544
293	0.4838155718
294	0.4835672702
295	0.4832518168
296	0.4829652572
297	0.4827602373
298	0.4826864745
299	0.4825421471
300	0.4822338269
301	0.4819324765
302	0.4816737569
303	0.4814684518
304	0.4813583666
305	0.4812506733
306	0.4811342074
307	0.4809028261
308	0.480800832
309	0.4805012465
310	0.4801883444
311	0.4799765066
312	0.4797401015
313	0.4794684037
314	0.4792385572
315	0.4789611782
316	0.4786980305
317	0.4783985881
318	0.4781159885
319	0.4778661228
320	0.4776425703
321	0.4773544199
322	0.4771577679
323	0.4769522486
324	0.4767435946
325	0.4765273568
326	0.4762831211
327	0.4760129488
328	0.4758513157
329	0.4756738535
330	0.4754671735
331	0.4753728804
332	0.4751036773
333	0.4748886755
334	0.4746577989
335	0.4745075248
336	0.4742613008
337	0.4740309203
338	0.473807855
339	0.4735799772
340	0.473386124
341	0.4731422536
342	0.4728710054
343	0.4726462444
344	0.4724514947
345	0.4723089812
346	0.4721200726
347	0.4719839581
348	0.4718054548
349	0.4716774719
350	0.4714999934
351	0.4713171904
352	0.4711670739
353	0.4710660233
354	0.4708707552
355	0.4707510456
356	0.4706183815
357	0.4704833366
358	0.4703603182
359	0.4701612751
360	0.469859785
361	0.4697141365
362	0.4694981978
363	0.4693122776
364	0.469154077
365	0.469003919
366	0.4688940495
367	0.4687794575
368	0.4685521076
369	0.4684038317
370	0.468160803
371	0.4679115205
372	0.4676836412
373	0.4674531521
374	0.4671618742
375	0.4670072163
376	0.4667565523
377	0.4666106225
378	0.4665131458
379	0.466320863
380	0.4661605211
381	0.465967324
382	0.4658701922
383	0.4657316002
384	0.4655765717
385	0.465363016
386	0.4651904429
387	0.4650282831
388	0.464929069
389	0.4647387119
390	0.4644795374
391	0.4642572994
392	0.4641065333
393	0.4639555227
394	0.463797133
395	0.4636237927
396	0.4634251278
397	0.4632658231
398	0.4630325863
399	0.4628755428
400	0.4628061237
401	0.4625908535
402	0.4624699573
403	0.4622620139
404	0.4621110177
405	0.4619676373
406	0.4617911946
407	0.4616857414
408	0.4614573654
409	0.4612572819
410	0.4610989504
411	0.4609596588
412	0.4608021297
413	0.4607018345
414	0.4604900832
415	0.460340527
416	0.4602343734
417	0.4600481771
418	0.4598578603
419	0.4596413267
420	0.4595548048
421	0.4594291554
422	0.4593385944
423	0.459254907
424	0.4590476688
425	0.4588152711
426	0.4587083315
427	0.4586192428
428	0.4584386249
429	0.4582596565
430	0.4581228361
431	0.4579478821
432	0.457833231
433	0.4576882843
434	0.4575002289
435	0.4573244206
436	0.4571861277
437	0.4570364606
438	0.4568954454
439	0.4567357791
440	0.4565704013
441	0.4564064476
442	0.4562459631
443	0.4561513489
444	0.4559789563
445	0.4558534064
446	0.4557321871
447	0.4556025365
448	0.4554716751
449	0.4552977756
450	0.4551845763
451	0.4550770307
452	0.4549375068
453	0.4548174696
454	0.4547335307
455	0.4545580827
456	0.4544751661
457	0.4543878831
458	0.4542515372
459	0.4541457936
460	0.4540463284
461	0.4538995566
462	0.4538187912
463	0.453687993
464	0.4535474789
465	0.4533949662
466	0.4533189052
467	0.4531759431
468	0.4530706258
469	0.4529686721
470	0.452847062
471	0.4527467693
472	0.4526682901
473	0.4525726478
474	0.452445058
475	0.4522925784
476	0.4521633679
477	0.4519970778
478	0.4518779465
479	0.4517990279
480	0.4516771383
481	0.4515307466
482	0.4513873451
483	0.451230226
484	0.4510905569
485	0.450976345
486	0.4508330655
487	0.4506917233
488	0.45057172
489	0.4505003534
490	0.4503945958
491	0.4503244606
492	0.4501783606
493	0.4500758997
494	0.449977488
495	0.4498991657
496	0.449819222
497	0.4496826515
498	0.4495589482
499	0.4494258351
